column_1,value,name,club,nation,position,age
678,"€18.00m","Mahmoud Dahoud","Borussia Dortmund",Germany,"Central Midfield",27
679,"€18.00m","Luis Alberto","SS Lazio",Spain,"Central Midfield",30
680,"€18.00m",Koke,"Atlético de Madrid",Spain,"Central Midfield",30
681,"€18.00m",Thiago,"Liverpool FC",Spain,"Central Midfield",31
682,"€17.00m","Amadou Haidara","RB Leipzig",Mali,"Central Midfield",24
683,"€17.00m","Tyler Adams","Leeds United","United States","Defensive Midfield",23
684,"€17.00m","Salih Özcan","Borussia Dortmund",Turkey,"Defensive Midfield",24
685,"€17.00m","Maximilian Arnold","VfL Wolfsburg",Germany,"Central Midfield",28
686,"€16.00m","Sander Berge","Sheffield United",Norway,"Defensive Midfield",24
687,"€16.00m","Baptiste Santamaria","Stade Rennais FC",France,"Central Midfield",27
688,"€16.00m","Vitaly Janelt","Brentford FC",Germany,"Defensive Midfield",24
689,"€16.00m","William Carvalho","Real Betis Balompié",Portugal,"Defensive Midfield",30
690,"€15.00m","Désiré Doué","Stade Rennais FC",France,"Attacking Midfield",17
691,"€15.00m","João Gomes","CR Flamengo",Brazil,"Central Midfield",21
692,"€15.00m","Carney Chukwuemeka","Chelsea FC",England,"Central Midfield",19
693,"€15.00m","Maurits Kjaergaard","Red Bull Salzburg",Denmark,"Central Midfield",19
694,"€15.00m","Azzedine Ounahi","Angers SCO",Morocco,"Central Midfield",22
695,"€15.00m","Thiago Almada","Atlanta United FC",Argentina,"Attacking Midfield",21
696,"€15.00m","Fabio Miretti","Juventus FC",Italy,"Central Midfield",19
697,"€15.00m","Pape Matar Sarr","Tottenham Hotspur",Senegal,"Central Midfield",20
698,"€15.00m","Cole Palmer","Manchester City",England,"Attacking Midfield",20
699,"€15.00m","Arsen Zakharyan","Dynamo Moscow",Russia,"Attacking Midfield",19
700,"€15.00m","Nicola Zalewski","AS Roma",Poland,"Left Midfield",20
701,"€15.00m","Joe Aribo","Southampton FC",Nigeria,"Attacking Midfield",26
702,"€15.00m","Fran Beltrán","Celta de Vigo",Spain,"Central Midfield",23
703,"€15.00m","Oliver Skipp","Tottenham Hotspur",England,"Defensive Midfield",22
704,"€15.00m","Exequiel Palacios","Bayer 04 Leverkusen",Argentina,"Central Midfield",24
705,"€15.00m","Marcus Tavernier","AFC Bournemouth",England,"Central Midfield",23
706,"€15.00m","Yusuf Yazici",Trabzonspor,Turkey,"Attacking Midfield",25
707,"€15.00m","Albert Sambi Lokonga","Arsenal FC",Belgium,"Central Midfield",23
708,"€15.00m",Florentino,"SL Benfica",Portugal,"Defensive Midfield",23
709,"€15.00m","Anton Stach","1.FSV Mainz 05",Germany,"Defensive Midfield",24
710,"€15.00m","Mattias Svanberg","VfL Wolfsburg",Sweden,"Central Midfield",23
711,"€15.00m","Lucas Torreira",Galatasaray,Uruguay,"Defensive Midfield",26
712,"€15.00m","Maxime López","US Sassuolo",France,"Defensive Midfield",25
713,"€15.00m","Mauro Arambarri","Getafe CF",Uruguay,"Central Midfield",27
714,"€15.00m","Ludovic Blas","FC Nantes",France,"Attacking Midfield",25
715,"€15.00m","Jefferson Lerma","AFC Bournemouth",Colombia,"Defensive Midfield",28
716,"€15.00m","Harrison Reed","Fulham FC",England,"Central Midfield",27
717,"€15.00m","Julian Weigl","Borussia Mönchengladbach",Germany,"Defensive Midfield",27
718,"€15.00m","Jonathan Clauss","Olympique Marseille",France,"Right Midfield",30
719,"€15.00m","Leandro Paredes","Juventus FC",Argentina,"Defensive Midfield",28
720,"€15.00m","Saúl Ñíguez","Atlético de Madrid",Spain,"Central Midfield",28
721,"€15.00m","Hans Vanaken","Club Brugge KV",Belgium,"Attacking Midfield",30
722,"€15.00m",Oscar,"Shanghai Port",Brazil,"Attacking Midfield",31
723,"€15.00m","Jordan Henderson","Liverpool FC",England,"Central Midfield",32
724,"€14.00m","Unai Vencedor","Athletic Bilbao",Spain,"Central Midfield",22
725,"€14.00m","James Garner","Everton FC",England,"Defensive Midfield",21
726,"€14.00m","Matías Zaracho","Clube Atlético Mineiro",Argentina,"Attacking Midfield",24
727,"€14.00m","Kenneth Taylor","Ajax Amsterdam",Netherlands,"Central Midfield",20
728,"€14.00m","Nico González","Valencia CF",Spain,"Central Midfield",21
729,"€14.00m","Joey Veerman","PSV Eindhoven",Netherlands,"Central Midfield",24
730,"€14.00m","Al Musrati","SC Braga",Libya,"Defensive Midfield",26
731,"€14.00m","André Almeida","Valencia CF",Portugal,"Central Midfield",22
732,"€14.00m","Amine Harit","Olympique Marseille",Morocco,"Attacking Midfield",25
733,"€14.00m","Valentin Rongier","Olympique Marseille",France,"Central Midfield",28
734,"€14.00m","Matteo Pessina","AC Monza",Italy,"Attacking Midfield",25
735,"€14.00m","Sebastian Szymanski","Feyenoord Rotterdam",Poland,"Attacking Midfield",23
736,"€14.00m","Mathias Jensen","Brentford FC",Denmark,"Central Midfield",27
737,"€14.00m","Joan Jordán","Sevilla FC",Spain,"Central Midfield",28
738,"€14.00m",Talisca,"Al-Nassr FC",Brazil,"Attacking Midfield",28
739,"€14.00m","André Gomes","LOSC Lille",Portugal,"Central Midfield",29
740,"€14.00m","Dele Alli","Besiktas JK",England,"Attacking Midfield",26
741,"€14.00m","Corentin Tolisso","Olympique Lyon",France,"Central Midfield",28
742,"€14.00m","Jordan Veretout","Olympique Marseille",France,"Defensive Midfield",29
743,"€14.00m","Christian Nörgaard","Brentford FC",Denmark,"Defensive Midfield",28
744,"€14.00m","Sergi Darder","RCD Espanyol Barcelona",Spain,"Central Midfield",29
745,"€14.00m","Jesse Lingard","Nottingham Forest",England,"Attacking Midfield",30
746,"€14.00m","Steven Berghuis","Ajax Amsterdam",Netherlands,"Attacking Midfield",31
747,"€14.00m","Emre Can","Borussia Dortmund",Germany,"Defensive Midfield",28
748,"€14.00m","Iker Muniain","Athletic Bilbao",Spain,"Attacking Midfield",30
749,"€13.00m","Raphael Onyedika","Club Brugge KV",Nigeria,"Defensive Midfield",21
750,"€13.00m",Silas,"VfB Stuttgart","DR Congo","Right Midfield",24
751,"€13.00m","Ivan Ilić","Hellas Verona",Serbia,"Central Midfield",21
752,"€13.00m","Nicolás de la Cruz","CA River Plate",Uruguay,"Central Midfield",25
753,"€13.00m","Angel Gomes","LOSC Lille",England,"Attacking Midfield",22
754,"€13.00m","Ellyes Skhiri","1. FC Köln",Tunisia,"Defensive Midfield",27
755,"€13.00m","Saša Lukić","Torino FC",Serbia,"Central Midfield",26
756,"€13.00m","Fredrik Aursnes","SL Benfica",Norway,"Defensive Midfield",27
757,"€13.00m","Andreas Pereira","Fulham FC",Brazil,"Attacking Midfield",27
758,"€13.00m","Remo Freuler","Nottingham Forest",Switzerland,"Central Midfield",30
759,"€13.00m","Mario Götze","Eintracht Frankfurt",Germany,"Attacking Midfield",30
760,"€12.00m","Enzo Le Fée","FC Lorient",France,"Attacking Midfield",22
761,"€12.00m","Lucas Gourna-Douath","Red Bull Salzburg",France,"Defensive Midfield",19
762,"€12.00m","Kang-in Lee","RCD Mallorca","Korea, South","Attacking Midfield",21
763,"€12.00m","Jon Moncayola","CA Osasuna",Spain,"Central Midfield",24
764,"€12.00m","Kristjan Asllani","Inter Milan",Albania,"Defensive Midfield",20
765,"€12.00m","Nicolò Rovella","AC Monza",Italy,"Defensive Midfield",21
766,"€12.00m","Nicolás Domínguez","Bologna FC 1909",Argentina,"Central Midfield",24
767,"€12.00m","Samuele Ricci","Torino FC",Italy,"Defensive Midfield",21
768,"€12.00m","José Cifuentes","Los Angeles FC",Ecuador,"Central Midfield",23
769,"€12.00m","Raphael Veiga","Sociedade Esportiva Palmeiras",Brazil,"Attacking Midfield",27
770,"€12.00m","Billy Gilmour","Brighton & Hove Albion",Scotland,"Central Midfield",21
771,"€12.00m","Jakub Moder","Brighton & Hove Albion",Poland,"Central Midfield",23
772,"€12.00m","Marc Roca","Leeds United",Spain,"Defensive Midfield",26
773,"€12.00m","Gustavo Scarpa","Nottingham Forest",Brazil,"Attacking Midfield",28
774,"€12.00m","Diadié Samassékou","Olympiacos Piraeus",Mali,"Defensive Midfield",26
775,"€12.00m","Tom Davies","Everton FC",England,"Central Midfield",24
776,"€12.00m","Orel Mangala","Nottingham Forest",Belgium,"Central Midfield",24
777,"€12.00m","Antonin Barak","ACF Fiorentina","Czech Republic","Attacking Midfield",28
778,"€12.00m","Harry Winks","UC Sampdoria",England,"Defensive Midfield",26
779,"€12.00m","Mateus Uribe","FC Porto",Colombia,"Defensive Midfield",31
780,"€12.00m","Solly March","Brighton & Hove Albion",England,"Left Midfield",28
781,"€12.00m","Davy Klaassen","Ajax Amsterdam",Netherlands,"Attacking Midfield",29
782,"€12.00m","João Mário","SL Benfica",Portugal,"Attacking Midfield",29
783,"€12.00m","Hany Mukhtar","Nashville SC",Germany,"Attacking Midfield",27
784,"€12.00m","Danilo Pereira","Paris Saint-Germain",Portugal,"Defensive Midfield",31
785,"€12.00m","Marten de Roon","Atalanta BC",Netherlands,"Defensive Midfield",31
786,"€12.00m","Abdoulaye Doucouré","Everton FC",Mali,"Central Midfield",30
787,"€12.00m","Téji Savanier","Montpellier HSC",France,"Attacking Midfield",31
788,"€12.00m","Kerem Demirbay","Bayer 04 Leverkusen",Germany,"Central Midfield",29
789,"€12.00m","Georginio Wijnaldum","AS Roma",Netherlands,"Central Midfield",32
790,"€11.00m","Mady Camara","AS Roma",Guinea,"Central Midfield",25
791,"€11.00m","Lucas Tousart","Hertha BSC",France,"Defensive Midfield",25
792,"€11.00m","Anastasios Bakasetas",Trabzonspor,Greece,"Attacking Midfield",29
793,"€11.00m","Robert Andrich","Bayer 04 Leverkusen",Germany,"Central Midfield",28
794,"€10.00m","Arda Güler",Fenerbahce,Turkey,"Attacking Midfield",17
795,"€10.00m",André,"Fluminense Football Club",Brazil,"Defensive Midfield",21
796,"€10.00m","Alan Varela","CA Boca Juniors",Argentina,"Defensive Midfield",21
797,"€10.00m","Andrey Santos","Club de Regatas Vasco da Gama",Brazil,"Central Midfield",18
798,"€10.00m","David Costa","RC Lens",Portugal,"Attacking Midfield",21
799,"€10.00m","Gabri Veiga","Celta de Vigo",Spain,"Attacking Midfield",20
800,"€10.00m","Salis Abdul Samed","RC Lens",Ghana,"Defensive Midfield",22
801,"€10.00m","Johann Lepenant","Olympique Lyon",France,"Defensive Midfield",20
802,"€10.00m","Romain Faivre","Olympique Lyon",France,"Right Midfield",24
803,"€10.00m","Fabian Rieder","BSC Young Boys",Switzerland,"Attacking Midfield",20
804,"€10.00m","Aster Vranckx","AC Milan",Belgium,"Central Midfield",20
805,"€10.00m","Yari Verschaeren","RSC Anderlecht",Belgium,"Attacking Midfield",21
806,"€10.00m","Miguel Crespo",Fenerbahce,Portugal,"Central Midfield",26
807,"€10.00m","Pape Gueye","Olympique Marseille",Senegal,"Defensive Midfield",23
808,"€10.00m","Emanuel Reynoso","Minnesota United FC",Argentina,"Attacking Midfield",27
809,"€10.00m","Luka Ivanusec","GNK Dinamo Zagreb",Croatia,"Attacking Midfield",24
810,"€10.00m","Ilias Chair","Queens Park Rangers",Morocco,"Attacking Midfield",25
811,"€10.00m","Jeff Reine-Adélaïde","Olympique Lyon",France,"Attacking Midfield",24
812,"€10.00m","Gaetano Castrovilli","ACF Fiorentina",Italy,"Central Midfield",25
813,"€10.00m","Dejan Ljubicic","1. FC Köln",Austria,"Defensive Midfield",25
814,"€10.00m","Óscar Rodríguez","Celta de Vigo",Spain,"Attacking Midfield",24
815,"€10.00m","Carles Aleñá","Getafe CF",Spain,"Central Midfield",24
816,"€10.00m","Daler Kuzyaev","Zenit St. Petersburg",Russia,"Central Midfield",29
817,"€10.00m","Nemanja Maksimović","Getafe CF",Serbia,"Central Midfield",27
818,"€10.00m","Aleksey Miranchuk","Torino FC",Russia,"Attacking Midfield",27
819,"€10.00m","Niklas Dorsch","FC Augsburg",Germany,"Defensive Midfield",24
820,"€10.00m","Lewis Cook","AFC Bournemouth",England,"Central Midfield",25
821,"€10.00m","Matheus Pereira","Al-Hilal Saudi FC",Brazil,"Attacking Midfield",26
822,"€10.00m","Florian Grillitsch","Ajax Amsterdam",Austria,"Defensive Midfield",27
823,"€10.00m","Alex Oxlade-Chamberlain","Liverpool FC",England,"Central Midfield",29
824,"€10.00m","Manuel Lanzini","West Ham United",Argentina,"Attacking Midfield",29
825,"€10.00m","Ross Barkley","OGC Nice",England,"Central Midfield",29
826,"€10.00m","Dennis Praet","Leicester City",Belgium,"Central Midfield",28
827,"€10.00m","Benjamin André","LOSC Lille",France,"Defensive Midfield",32
828,"€10.00m","Ivan Perisic","Tottenham Hotspur",Croatia,"Left Midfield",33
829,"€10.00m","Luka Modric","Real Madrid",Croatia,"Central Midfield",37
830,"€9.50m","Abdülkadir Ömür",Trabzonspor,Turkey,"Attacking Midfield",23
831,"€9.00m","Facundo Buonanotte","Brighton & Hove Albion",Argentina,"Attacking Midfield",18
832,"€9.00m","Imrân Louza","Watford FC",Morocco,"Central Midfield",23
833,"€9.00m","Joris Chotard","Montpellier HSC",France,"Defensive Midfield",21
834,"€9.00m","Eduard Spertsyan","FK Krasnodar",Armenia,"Attacking Midfield",22
835,"€9.00m","Frank Onyeka","Brentford FC",Nigeria,"Central Midfield",25
836,"€9.00m","Daniil Fomin","Dynamo Moscow",Russia,"Defensive Midfield",25
837,"€9.00m","Yacine Adli","AC Milan",France,"Attacking Midfield",22
838,"€9.00m","Yangel Herrera","Girona FC",Venezuela,"Central Midfield",24
839,"€9.00m","Kristijan Jakic","Eintracht Frankfurt",Croatia,"Defensive Midfield",25
840,"€9.00m","Mykola Shaparenko","Dynamo Kyiv",Ukraine,"Central Midfield",24
841,"€9.00m","Bryan Heynen","KRC Genk",Belgium,"Central Midfield",25
842,"€9.00m","Jorge Carrascal","CSKA Moscow",Colombia,"Attacking Midfield",24
843,"€9.00m","Josh Dasilva","Brentford FC",England,"Central Midfield",24
844,"€9.00m",Evander,"Portland Timbers",Brazil,"Central Midfield",24
845,"€9.00m","Dani Ceballos","Real Madrid",Spain,"Central Midfield",26
846,"€9.00m","Fernando Gorriarán","Tigres UANL",Uruguay,"Central Midfield",28
847,"€9.00m","Rolando Mandragora","ACF Fiorentina",Italy,"Defensive Midfield",25
848,"€9.00m","Josh Brownhill","Burnley FC",England,"Central Midfield",27
849,"€9.00m",Xeka,"Stade Rennais FC",Portugal,"Central Midfield",28
850,"€9.00m","Pity Martínez","Al-Nassr FC",Argentina,"Attacking Midfield",29
851,"€9.00m","Renato Tapia","Celta de Vigo",Peru,"Defensive Midfield",27
852,"€9.00m","Robert Skov","TSG 1899 Hoffenheim",Denmark,"Right Midfield",26
853,"€9.00m","Dmitri Barinov","Lokomotiv Moscow",Russia,"Defensive Midfield",26
854,"€9.00m","Rade Krunic","AC Milan",Bosnia-Herzegovina,"Central Midfield",29
855,"€9.00m","Dennis Geiger","TSG 1899 Hoffenheim",Germany,"Central Midfield",24
856,"€9.00m","Angelo Fulgini","1.FSV Mainz 05",France,"Attacking Midfield",26
857,"€9.00m","Marko Grujić","FC Porto",Serbia,"Defensive Midfield",26
858,"€9.00m","Óliver Torres","Sevilla FC",Spain,"Central Midfield",28
859,"€9.00m","Flavien Tait","Stade Rennais FC",France,"Central Midfield",29
860,"€9.00m","Ryan Christie","AFC Bournemouth",Scotland,"Attacking Midfield",27
861,"€9.00m","Jean-Philippe Gbamin",Trabzonspor,"Cote d'Ivoire","Defensive Midfield",27
862,"€9.00m","Mohamed Elneny","Arsenal FC",Egypt,"Defensive Midfield",30
863,"€9.00m","James Rodríguez","Olympiacos Piraeus",Colombia,"Attacking Midfield",31
864,"€9.00m",Isco,"Without ClubWithout Club",Spain,"Attacking Midfield",30
865,"€9.00m","Marco Reus","Borussia Dortmund",Germany,"Attacking Midfield",33
866,"€8.50m","Carlos Alcaraz","Racing Club",Argentina,"Central Midfield",20
867,"€8.50m","Máximo Perrone","CA Vélez Sarsfield",Argentina,"Defensive Midfield",19
868,"€8.50m","Kristian Thorstvedt","US Sassuolo",Norway,"Attacking Midfield",23
869,"€8.50m","Matheus Henrique","US Sassuolo",Brazil,"Central Midfield",25
870,"€8.50m","Quinten Timber","Feyenoord Rotterdam",Netherlands,"Central Midfield",21
871,"€8.50m","Jerdy Schouten","Bologna FC 1909",Netherlands,"Defensive Midfield",25
872,"€8.00m","Facundo Farías","CA Colon",Argentina,"Attacking Midfield",20
873,"€8.00m","Nicolás Capaldo","Red Bull Salzburg",Argentina,"Central Midfield",24
874,"€8.00m","Lewis O'Brien","Nottingham Forest",England,"Central Midfield",24
875,"€8.00m","Kacper Kozlowski","Vitesse Arnhem",Poland,"Central Midfield",19
876,"€8.00m","Carlos Rodríguez","CD Cruz Azul",Mexico,"Central Midfield",26
877,"€8.00m","Stephen Eustaquio","FC Porto",Canada,"Central Midfield",26
878,"€8.00m","Flynn Downes","West Ham United",England,"Central Midfield",23
879,"€8.00m","Kastriot Imeri","BSC Young Boys",Switzerland,"Central Midfield",22
880,"€8.00m","Marcos Antônio","SS Lazio",Brazil,"Central Midfield",22
881,"€8.00m","Morten Hjulmand","US Lecce",Denmark,"Defensive Midfield",23
882,"€8.00m","Jean-Ricner Bellegarde","RC Strasbourg Alsace",France,"Central Midfield",24
883,"€8.00m","Nicolò Fagioli","Juventus FC",Italy,"Central Midfield",21
884,"€8.00m","Ryan Yates","Nottingham Forest",England,"Central Midfield",25
885,"€8.00m","Ibrahima Diallo","Southampton FC",France,"Defensive Midfield",23
886,"€8.00m","Nedim Bajrami","FC Empoli",Albania,"Attacking Midfield",23
887,"€8.00m","Mike Trésor","KRC Genk",Belgium,"Attacking Midfield",23
888,"€8.00m","Leonardo Fernández","Deportivo Toluca",Uruguay,"Attacking Midfield",24
889,"€8.00m","Ibrahima Sissoko","RC Strasbourg Alsace",France,"Defensive Midfield",25
890,"€8.00m","Érick Sánchez","CF Pachuca",Mexico,"Central Midfield",23
891,"€8.00m","Leandro Barreiro","1.FSV Mainz 05",Luxembourg,"Central Midfield",23
892,"€8.00m","Todd Cantwell","Norwich City",England,"Left Midfield",24
893,"€8.00m","Luis Chávez","CF Pachuca",Mexico,"Defensive Midfield",26
894,"€8.00m","Razvan Marin","FC Empoli",Romania,"Central Midfield",26
895,"€8.00m","Ainsley Maitland-Niles","Southampton FC",England,"Right Midfield",25
896,"€8.00m","Daniel-Kofi Kyereh","SC Freiburg",Ghana,"Attacking Midfield",26
897,"€8.00m","Suat Serdar","Hertha BSC",Germany,"Central Midfield",25
898,"€8.00m","Mirko Ivanic","Red Star Belgrade",Montenegro,"Attacking Midfield",29
899,"€8.00m","Stefano Sensi","AC Monza",Italy,"Central Midfield",27
900,"€8.00m","Maximilian Eggestein","SC Freiburg",Germany,"Central Midfield",26
901,"€8.00m","Vitaliy Buyalskyi","Dynamo Kyiv",Ukraine,"Attacking Midfield",29
902,"€8.00m","Adrien Tamèze","Hellas Verona",Cameroon,"Defensive Midfield",28
903,"€8.00m","Jeffrey Schlupp","Crystal Palace",Ghana,"Left Midfield",30
904,"€8.00m","Casper Nielsen","Club Brugge KV",Denmark,"Central Midfield",28
905,"€8.00m","Thiago Mendes","Olympique Lyon",Brazil,"Defensive Midfield",30
906,"€8.00m","Idrissa Gueye","Everton FC",Senegal,"Central Midfield",33
907,"€8.00m",Allan,"Al-Wahda FC Abu Dhabi",Brazil,"Defensive Midfield",31
908,"€8.00m","Rani Khedira","1.FC Union Berlin",Germany,"Defensive Midfield",28
909,"€8.00m","Callum McGregor","Celtic FC",Scotland,"Central Midfield",29
910,"€8.00m","Pascal Groß","Brighton & Hove Albion",Germany,"Central Midfield",31
911,"€8.00m","Miralem Pjanic","Sharjah FC",Bosnia-Herzegovina,"Central Midfield",32
912,"€7.50m","Danil Glebov","FK Rostov",Russia,"Defensive Midfield",23
913,"€7.50m","Junior Dina Ebimbe","Eintracht Frankfurt",France,"Right Midfield",22
914,"€7.50m","Guus Til","PSV Eindhoven",Netherlands,"Attacking Midfield",25
915,"€7.50m","Giulio Maggiore","US Salernitana 1919",Italy,"Central Midfield",24
916,"€7.50m","Jean-Victor Makengo","Udinese Calcio",France,"Central Midfield",24
917,"€7.50m","Mathias Normann","Dynamo Moscow",Norway,"Defensive Midfield",26
918,"€7.50m","Simone Bastoni","Spezia Calcio",Italy,"Central Midfield",26
919,"€7.50m","Glen Kamara","Rangers FC",Finland,"Central Midfield",27
920,"€7.50m","Grischa Prömel","TSG 1899 Hoffenheim",Germany,"Central Midfield",27
921,"€7.50m","John Lundstram","Rangers FC",England,"Central Midfield",28
922,"€7.00m","Alex Scott","Bristol City",England,"Central Midfield",19
923,"€7.00m","Patrick de Paula","Botafogo de Futebol e Regatas",Brazil,"Central Midfield",23
924,"€7.00m","Vinicius Souza","RCD Espanyol Barcelona",Brazil,"Defensive Midfield",23
925,"€7.00m","Aníbal Moreno","Racing Club",Argentina,"Defensive Midfield",23
926,"€7.00m","Iliman Ndiaye","Sheffield United",Senegal,"Attacking Midfield",22
927,"€7.00m","Ilaix Moriba","Valencia CF",Guinea,"Central Midfield",19
928,"€7.00m","Gabriel Menino","Sociedade Esportiva Palmeiras",Brazil,"Central Midfield",22
929,"€7.00m","Jhon Arias","Fluminense Football Club",Colombia,"Left Midfield",25
930,"€7.00m","Jean Lucas","AS Monaco",Brazil,"Central Midfield",24
931,"€7.00m","Lucien Agoumé","ESTAC Troyes",France,"Defensive Midfield",20
932,"€7.00m","Giuliano Galoppo","São Paulo Futebol Clube",Argentina,"Central Midfield",23
933,"€7.00m","Igor Gomes","São Paulo Futebol Clube",Brazil,"Attacking Midfield",23
934,"€7.00m","Eliot Matazo","AS Monaco",Belgium,"Central Midfield",20
935,"€7.00m","Hidemasa Morita","Sporting CP",Japan,"Defensive Midfield",27
936,"€7.00m","Fausto Vera","Sport Club Corinthians Paulista",Argentina,"Defensive Midfield",22
937,"€7.00m","Rodrigo Nestor","São Paulo Futebol Clube",Brazil,"Central Midfield",22
938,"€7.00m","Nicolas Raskin","Standard Liège",Belgium,"Central Midfield",21
939,"€7.00m",Maycon,"Shakhtar Donetsk",Brazil,"Central Midfield",25
940,"€7.00m","Ramiz Zerrouki","Twente Enschede FC",Algeria,"Central Midfield",24
941,"€7.00m","Daniil Utkin","FK Rostov",Russia,"Central Midfield",23
942,"€7.00m","Pablo Rosario","OGC Nice",Netherlands,"Defensive Midfield",25
943,"€7.00m","Toma Basic","SS Lazio",Croatia,"Central Midfield",26
944,"€7.00m","Riqui Puig","Los Angeles Galaxy",Spain,"Central Midfield",23
945,"€7.00m",Walace,"Udinese Calcio",Brazil,"Defensive Midfield",27
946,"€7.00m","Nikola Moro","Bologna FC 1909",Croatia,"Defensive Midfield",24
947,"€7.00m","Érick Gutiérrez","PSV Eindhoven",Mexico,"Central Midfield",27
948,"€7.00m","Ianis Hagi","Rangers FC",Romania,"Attacking Midfield",24
949,"€7.00m","Rifat Zhemaletdinov","Lokomotiv Moscow",Russia,"Attacking Midfield",26
950,"€7.00m","Matt Grimes","Swansea City",England,"Central Midfield",27
951,"€7.00m","Aleix García","Girona FC",Spain,"Central Midfield",25
952,"€7.00m","Josh Cullen","Burnley FC",Ireland,"Central Midfield",26
953,"€7.00m","Przemyslaw Frankowski","RC Lens",Poland,"Right Midfield",27
954,"€7.00m","Lucas Zelarayán","Columbus Crew",Armenia,"Attacking Midfield",30
955,"€7.00m","Morten Thorsby","1.FC Union Berlin",Norway,"Central Midfield",26
956,"€7.00m","Lucas Torró","CA Osasuna",Spain,"Defensive Midfield",28
957,"€7.00m","Branco van den Boomen","FC Toulouse",Netherlands,"Central Midfield",27
958,"€7.00m","Danilo Cataldi","SS Lazio",Italy,"Defensive Midfield",28
959,"€7.00m","Bobby Reid","Fulham FC",Jamaica,"Attacking Midfield",29
960,"€7.00m","Mario Lemina","OGC Nice",Gabon,"Defensive Midfield",29
961,"€7.00m","Fredrik Midtsjö",Galatasaray,Norway,"Central Midfield",29
962,"€7.00m","Jonjo Shelvey","Newcastle United",England,"Central Midfield",30
963,"€7.00m","Dani Parejo","Villarreal CF",Spain,"Central Midfield",33
964,"€6.50m",Christian,"Esporte Clube Bahia",Brazil,"Central Midfield",22
965,"€6.50m","Martin Baturina","GNK Dinamo Zagreb",Croatia,"Attacking Midfield",19
966,"€6.50m","Bruno Praxedes","Red Bull Bragantino",Brazil,"Attacking Midfield",20
967,"€6.50m","Luis Romo","CF Monterrey",Mexico,"Defensive Midfield",27
968,"€6.50m","Santiago Ascacíbar","US Cremonese",Argentina,"Defensive Midfield",25
969,"€6.50m","Uroš Račić","SC Braga",Serbia,"Defensive Midfield",24
970,"€6.50m",Allan,"Clube Atlético Mineiro",Brazil,"Central Midfield",25
971,"€6.50m","Selim Amallah","Standard Liège",Morocco,"Attacking Midfield",26
972,"€6.50m","Bartol Franjic","VfL Wolfsburg",Croatia,"Defensive Midfield",22
973,"€6.50m","Gedson Fernandes","Besiktas JK",Portugal,"Central Midfield",23
974,"€6.50m","Víctor Guzmán","Deportivo Guadalajara",Mexico,"Attacking Midfield",27
975,"€6.50m","Nahitan Nández","Cagliari Calcio",Uruguay,"Right Midfield",27
976,"€6.50m","Dorukhan Toköz",Trabzonspor,Turkey,"Central Midfield",26
977,"€6.50m","Willian Arão",Fenerbahce,Brazil,"Defensive Midfield",30
978,"€6.50m","Roberto Gagliardini","Inter Milan",Italy,"Central Midfield",28
979,"€6.50m","Ryan Gauld","Vancouver Whitecaps FC",Scotland,"Attacking Midfield",27
980,"€6.50m","Alfred Duncan","ACF Fiorentina",Ghana,"Central Midfield",29
981,"€6.50m","Wataru Endo","VfB Stuttgart",Japan,"Defensive Midfield",29
982,"€6.50m","Sérgio Oliveira",Galatasaray,Portugal,"Central Midfield",30
983,"€6.50m","Roberto Pereyra","Udinese Calcio",Argentina,"Central Midfield",31
984,"€6.00m","Ismaël Koné","Watford FC",Canada,"Central Midfield",20
985,"€6.00m","Warren Zaïre-Emery","Paris Saint-Germain",France,"Defensive Midfield",16
986,"€6.00m","Marcelino Núñez","Norwich City",Chile,"Central Midfield",22
987,"€6.00m","Aimar Oroz","CA Osasuna",Spain,"Attacking Midfield",21
988,"€6.00m","Georgiy Sudakov","Shakhtar Donetsk",Ukraine,"Attacking Midfield",20
989,"€6.00m","Hannibal Mejbri","Birmingham City",Tunisia,"Attacking Midfield",19
990,"€6.00m","Alhassan Yusuf","Royal Antwerp FC",Nigeria,"Central Midfield",22
991,"€6.00m","Gabriel Sara","Norwich City",Brazil,"Central Midfield",23
992,"€6.00m","Richard Sánchez","CF América",Paraguay,"Central Midfield",26
993,"€6.00m","Alexis Beka Beka","OGC Nice",France,"Defensive Midfield",21
994,"€6.00m","Edu Expósito","RCD Espanyol Barcelona",Spain,"Central Midfield",26
995,"€6.00m","Ryan Giles","Middlesbrough FC",England,"Left Midfield",22
996,"€6.00m","Efraín Álvarez","Los Angeles Galaxy",Mexico,"Attacking Midfield",20
997,"€6.00m","Djordje Mihailovic","AZ Alkmaar","United States","Attacking Midfield",24
998,"€6.00m","Adrián Bernabé","Parma Calcio 1913",Spain,"Central Midfield",21
999,"€6.00m","Tijjani Reijnders","AZ Alkmaar",Netherlands,"Central Midfield",24
1000,"€75.00m","Josko Gvardiol","RB Leipzig",Croatia,Centre-Back,20
1001,"€75.00m","Rúben Dias","Manchester City",Portugal,Centre-Back,25
1002,"€70.00m","Reece James","Chelsea FC",England,Right-Back,23
1003,"€70.00m","Alphonso Davies","Bayern Munich",Canada,Left-Back,22
1004,"€70.00m","Achraf Hakimi","Paris Saint-Germain",Morocco,Right-Back,24
1005,"€70.00m","Matthijs de Ligt","Bayern Munich",Netherlands,Centre-Back,23
1006,"€70.00m","Trent Alexander-Arnold","Liverpool FC",England,Right-Back,24
